,Unnamed: 0,Star_name,Distance,Mass,Radius,Unnamed: 6
825,316.0,WISE 1852+3537,55.4,,,
826,,,,,,
827,317.0,WISE 1906+4508,51.5,,,
828,,,,,,
829,318.0,WISE 1928+2356,22.8,,,
830,,,,,,
831,319.0,WISE 1952+7240,44.4,,,
832,,,,,,
833,320.0,WISE 1959-3338,37.2,,,
834,,,,,,
835,321.0,WISE 2030+0749,34.2,,,
836,,,,,,
837,322.0,WISE 2014+0424,96.2,,,
838,,,,,,
839,323.0,WISE 2015+6646,50.6,,,
840,,,,,,
841,324.0,WISE 2018-7423,47.9,,,
842,,,,,,
843,325.0,WISE 2019-1148,42.4,,,
844,,,,,,
845,326.0,WISE 2056+1459,24.5,,,
846,,,,,,
847,327.0,WISE 2134-7137,42.7,,,
848,,,,,,
849,328.0,WISE 2157+2659,61.6,,,
850,,,,,,
851,329.0,WISE 2209-2734,46,,,
852,,,,,,
853,330.0,WISE 2213+0911,58.7,,,
854,,,,,,
855,331.0,WISE 2220-3628,26.4,,,
856,,,,,,
857,332.0,WISE 2226+0440,45,,,
858,,,,,,
859,333.0,WISE 2237-0614,53.5,,,
860,,,,,,
861,334.0,WISE 2237+7228,46,,,
862,,,,,,
863,335.0,WISE 2239+1617,59.7,,,
864,,,,,,
865,336.0,WISE 2255-3118,44.7,,,
866,,,,,,
867,337.0,WISE 2301+0216,60.7,,,
868,,,,,,
869,338.0,WISE 2313-8037,35.9,,,
870,,,,,,
871,339.0,WISE 2319-1844,52.2,,,
872,,,,,,
873,340.0,WISE 2325-4105,37.5,,,
874,,,,,,
875,341.0,WISE 2327-2730,70.8,,,
876,,,,,,
877,342.0,WISE 2335+4222,90.3,,,
878,,,,,,
879,343.0,WISE 2340-0745,37.8,,,
880,,,,,,
881,344.0,WISE 2342+0856,51.2,,,
882,,,,,,
883,345.0,WISE 2343-7418,48.6,,,
884,,,,,,
885,346.0,WISE 2344+1034,46,,,
886,,,,,,
887,347.0,WISE 2348-1028,54.1,,,
888,,,,,,
889,348.0,WISE 2357+1227,54.8,,,
890,,,,,,
891,349.0,WISE 2359-7335,42.7,,,
892,,,,,,
893,350.0,WISEA 1101+5400,111,,,
894,,,,,,
895,351.0,2M1510,120,40 + 39 + ?,,
