,Unnamed: 0,Star_name,Distance,Mass,Radius,Unnamed: 6
199,3.0,2MASS J00242463-0158201,37.7,79,1.09,
200,,,,,,
201,4.0,2MASS J00250365+4759191AB,143,,,
202,,,,,,
203,5.0,2MASS J00274197+0503417,236,31,1.44,
204,,,,,,
205,6.0,2MASS J00275592+2219328,46.9,,,
206,,,,,,
207,7.0,2MASSW J0030300-145033,87.2,54,0.98,
208,,,,,,
209,8.0,2MASS J00332386-1521309 [de],131,29,1.43,
210,,,,,,
211,9.0,2MASS J00345157+0523050,31,42,0.94,
212,,,,,,
213,10.0,2MASS 0036+1821,28.6,42,0.94,
214,,,,,,
215,11.0,2MASSW J0045214+163445,57,23,1.62,
216,,,,,,
217,12.0,WISEP J004701.06+680352.1 [fr],40,12,1.3,
218,,,,,,
219,13.0,2MASS J00501994-3322402 [de],34,40,0.94,
220,,,,,,
221,14.0,2MASS J00034227-2822410,,,,
222,,,,,,
223,15.0,2MASS J00584253-0651239 [de],96,29,1.43,
224,,,,,,
225,16.0,CFBDS J005910.90–011401.3,30,23,,
226,,,,,,
227,17.0,2MASSI J0103320+193536,70,52,0.98,
228,,,,,,
229,18.0,SDSSp J010752.33+004156.1 [de],51,52,0.98,
230,,,,,,
231,19.0,2MASSI J0117474-340325 [de],163,20,1.62,
232,,,,,,
233,20.0,2MASS J01415823-4633574 [de],130,20,1.61,
234,,,,,,
235,21.0,SDSS J015141.69+124429.6,70,47,0.97,
236,,,,,,
237,22.0,DENIS-P J020529.0−115925A,65,,,
238,,,,,,
239,23.0,DENIS-P J020529.0−115925B,65,,,
240,,,,,,
241,24.0,DENIS-P J020529.0−115925C,65,,,
242,,,,,,
243,25.0,SDSS J020742.48+000056.2 [de],111,47,0.97,
244,,,,,,
245,26.0,2MASS J02103857-3015313,101,15,1.53,
246,,,,,,
247,27.0,2MASS J02340093-6442068,155,20,1.62,
248,,,,,,
249,28.0,2MASS J02411151-0326587 [de],152,27,1.41,
250,,,,,,
251,29.0,2MASS J02431371−2453298,35,33,0.99,
252,,,,,,
253,30.0,LP 771-21,53,78,1.08,
254,,,,,,
255,31.0,2MASS J02511327+0047364,,,,
256,,,,,,
257,32.0,Teegarden's star,12.578,80,1.27,
258,,,,,,
259,33.0,2MASS J02535980+3206373,184,65,1.9,
260,,,,,,
261,34.0,WISE J0254+0223,24,65,1.9,
262,,,,,,
263,35.0,DEN 0255-4700,16.2,80,0.97,
264,,,,,,
265,36.0,2MASS J03185403-3421292 [de],45,49,0.97,
266,,,,,,
267,37.0,2MASS J03205965+1854233,47,88,1.15,
268,,,,,,
269,38.0,2MASS J03231002-4631237,192,23,1.66,
270,,,,,,
271,39.0,SDSS J032553.17+042540.1,59,45,0.95,
272,,,,,,
273,40.0,2MASS J03264225-2102057 [de],80,18,1.3,
274,,,,,,
275,41.0,2MASS J03284265+2302051 [de],98,54,0.98,
276,,,,,,
277,42.0,2MASS J03341218-4953322,27,73,1.04,
278,,,,,,
279,43.0,LP 944-20,20.9,73,1.43,
280,,,,,,
